String ID,enu,Comment
en.APP.INFO_DRAWER.TITLE,Details, 
en.APP.INFO_DRAWER.COMMENTS,Comments, 
en.APP.INFO_DRAWER.PROPERTIES,Properties, 
en.APP.INFO_DRAWER.VERSIONS,Versions, 
en.APP.HOME.TITLE,Angular components for Alfresco, 
en.APP.HOME.DOCUMENTATION,Documentation, 
en.APP.LOGOUT.TITLE,Logout Page, 
en.APP.LOGOUT.SUB_TITLE,You are now logged out, 
en.APP.LOGOUT.LOGIN,Login, 
en.APP.LOGOUT.HOME,Home, 
en.APP.ADF_VERSION_MANAGER.ALLOW_DELETE,Allow delete, 
en.APP.ADF_VERSION_MANAGER.SHOW_COMMENTS,Show comments on versions, 
en.APP.ADF_VERSION_MANAGER.ALLOW_DOWNLOAD,Enable version download, 
en.APP.ADF_VERSION_MANAGER.READ_ONLY,Read-only, 
en.APP.ADF_VERSION_MANAGER.COMMENTS,Show comments, 
en.APP.PERSONAL-FILES,Personal Files, 
en.APP.WARN-MULTIPLE-UPLOADS,Display warning for multiple uploads., 
en.APP.CUSTOM-PERMISSION-MESSAGE,Enable custom permission message, 
en.APP.MEDIUM-TIME-FORMAT,Enable medium time format for document list, 
en.APP.SEARCH.RADIO.NONE,None, 
en.APP.SEARCH.RADIO.ALL,All, 
en.APP.SEARCH.RADIO.FOLDER,Folder, 
en.APP.SEARCH.RADIO.DOCUMENT,Document, 
en.title,Welcome, 
en.VERSION.NO_PERMISSION,You don't have permission to manage versions of this content, 
en.VERSION.NO_PERMISSION_EVENT,You don't have ${event.permission} permission to ${event.action} the ${event.type}, 
en.VERSION.CHOOSE_FILE,Select a file to see its versions, 
en.VERSION.DIALOG.CLOSE,Close, 
en.VERSION.DIALOG.TITLE,Manage Versions, 
en.METADATA.DIALOG.CLOSE,Close, 
en.METADATA.DIALOG.TITLE,Metadata, 
en.APP_LAYOUT.APP,App, 
en.APP_LAYOUT.APP_NAME,ADF Demo Application, 
en.APP_LAYOUT.HOME,Home, 
en.APP_LAYOUT.NODE-SELECTOR,Node Selector, 
en.APP_LAYOUT.SITES,Sites, 
en.APP_LAYOUT.CONTENT_SERVICES,Content Services, 
en.APP_LAYOUT.BREADCRUMB,Breadcrumb, 
en.APP_LAYOUT.NOTIFICATIONS,Notifications, 
en.APP_LAYOUT.TASK_LIST,Task List, 
en.APP_LAYOUT.PROCESS_LIST,Process List, 
en.APP_LAYOUT.PROCESS_CLOUD,Process Cloud, 
en.APP_LAYOUT.CARD_VIEW,CardView, Do not translate. is a type of layout
