String ID,enu,Comment
transfer-model.trx_applicationmodel.type.trx_transferTarget.title,Transfer Target, 
transfer-model.trx_applicationmodel.type.trx_transferTarget.description,The definition of a transfer target, 
transfer-model.trx_applicationmodel.type.trx_fileTransferTarget.title,File Transfer Target, 
transfer-model.trx_applicationmodel.type.trx_fileTransferTarget.description,The definition of a file transfer target, 
transfer-model.trx_applicationmodel.property.trx_endpointhost.title,Endpoint Host, 
transfer-model.trx_applicationmodel.property.trx_endpointhost.description,Endpoint Host, 
transfer-model.trx_applicationmodel.property.trx_endpointport.title,Endpoint Port, 
transfer-model.trx_applicationmodel.property.trx_endpointport.description,Endpoint Port, 
transfer-model.trx_applicationmodel.property.trx_endpointpath.title,Endpoint Path, 
transfer-model.trx_applicationmodel.property.trx_endpointpath.description,Endpoint Path, 
transfer-model.trx_applicationmodel.property.trx_endpointprotocol.title,Endpoint Protocol, 
transfer-model.trx_applicationmodel.property.trx_endpointprotocol.description,Endpoint Protocol, 
transfer-model.trx_applicationmodel.property.trx_enabled.title,Enabled, 
transfer-model.trx_applicationmodel.property.trx_enabled.description,Is this enabled or disabled, 
transfer-model.trx_applicationmodel.property.trx_username.title,Username, 
transfer-model.trx_applicationmodel.property.trx_username.description,Username, 
transfer-model.trx_applicationmodel.property.trx_password.title,Password, 
transfer-model.trx_applicationmodel.property.trx_password.description,Password, 
transfer-model.trx_applicationmodel.property.trx_progressPosition.title,Progress Position, 
transfer-model.trx_applicationmodel.property.trx_progressPosition.description,Progress Position, 
transfer-model.trx_applicationmodel.property.trx_progressEndpoint.title,Progress Endpoint, 
transfer-model.trx_applicationmodel.property.trx_progressEndpoint.description,Progress Endpoint, 
transfer-model.trx_applicationmodel.property.trx_transferStatus.title,Transfer Status, 
transfer-model.trx_applicationmodel.property.trx_transferStatus.description,Transfer Status, 
transfer-model.trx_applicationmodel.property.trx_transferError.title,Transfer Error, 
transfer-model.trx_applicationmodel.property.trx_transferError.description,Transfer Error, 
transfer-model.trx_applicationmodel.property.trx_transferId.title,Transfer Id, 
transfer-model.trx_applicationmodel.property.trx_transferId.description,Transfer Id, 
transfer-model.trx_applicationmodel.property.trx_invadedBy.title,Invaded By, 
transfer-model.trx_applicationmodel.property.trx_invadedBy.description,The repositories that have invaded this node, 
transfer-model.trx_applicationmodel.property.trx_repositoryId.title,Source Repository., 
transfer-model.trx_applicationmodel.property.trx_repositoryId.description,The repository id that this node originates from., 
transfer-model.trx_applicationmodel.property.trx_fromRepositoryId.title,From Repository Id, 
transfer-model.trx_applicationmodel.property.trx_fromContent.description,The content URLs transferred with this node, 
transfer-model.trx_applicationmodel.association.trx_orphan.title,Transfer Orphan, 
transfer-model.trx_applicationmodel.association.trx_orphan.description,Transfer Orphan, 
transfer-model.trx_applicationmodel.association.trx_fileTransferRootNode.title,Root Folder, 
transfer-model.trx_applicationmodel.association.trx_fileTransferRootNode.description,The local folder node that corresponds to the target's root folder, 
transfer-model.trx_applicationmodel.aspect.trx_transferRelated.title,Transfer Related, 
transfer-model.trx_applicationmodel.aspect.trx_transferRelated.description,Nodes with this aspect are related to a particular transfer., 
transfer-model.trx_applicationmodel.aspect.trx_enableable.title,Enableable, 
transfer-model.trx_applicationmodel.aspect.trx_enableable.description,Enableable, 
transfer-model.trx_applicationmodel.aspect.trx_transferred.name,Transferred, 
transfer-model.trx_applicationmodel.aspect.trx_transferred.description,Nodes with this aspect have been transferred from one repository to another, 
